5 15:23:35 INFO  SparkHadoopMapRedUtil:58 - attempt_201711051523_0002_m_000004_7: Committed
2017-11-05 15:23:36 INFO  Executor:58 - Finished task 19.0 in stage 2.0 (TID 22). 2628 bytes result sent to driver
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Starting task 21.0 in stage 2.0 (TID 24, localhost, partition 21,NODE_LOCAL, 1918 bytes)
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Finished task 19.0 in stage 2.0 (TID 22) in 31 ms on localhost (20/200)
2017-11-05 15:23:36 INFO  Executor:58 - Running task 21.0 in stage 2.0 (TID 24)
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Getting 1 non-empty blocks out of 1 blocks
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Started 0 remote fetches in 0 ms
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Getting 1 non-empty blocks out of 1 blocks
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Started 0 remote fetches in 1 ms
2017-11-05 15:23:36 INFO  FileOutputCommitter:439 - Saved output of task 'attempt_201711051523_0002_m_000021_24' to file:/var/folders/5b/l5cqfnmx16x0z42tz0z0dt5hnfcnkx/T/junit6147406587438984887/output/erroneous/_temporary/0/task_201711051523_0002_m_000021
2017-11-05 15:23:36 INFO  SparkHadoopMapRedUtil:58 - attempt_201711051523_0002_m_000021_24: Committed
2017-11-05 15:23:36 INFO  Executor:58 - Finished task 21.0 in stage 2.0 (TID 24). 2628 bytes result sent to driver
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Starting task 22.0 in stage 2.0 (TID 25, localhost, partition 22,NODE_LOCAL, 1918 bytes)
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Finished task 21.0 in stage 2.0 (TID 24) in 51 ms on localhost (21/200)
2017-11-05 15:23:36 INFO  Executor:58 - Running task 22.0 in stage 2.0 (TID 25)
2017-11-05 15:23:36 INFO  FileOutputCommitter:439 - Saved output of task 'attempt_201711051523_0002_m_000020_23' to file:/var/folders/5b/l5cqfnmx16x0z42tz0z0dt5hnfcnkx/T/junit6147406587438984887/output/erroneous/_temporary/0/task_201711051523_0002_m_000020
2017-11-05 15:23:36 INFO  SparkHadoopMapRedUtil:58 - attempt_201711051523_0002_m_000020_23: Committed
2017-11-05 15:23:36 INFO  Executor:58 - Finished task 20.0 in stage 2.0 (TID 23). 2628 bytes result sent to driver
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Starting task 23.0 in stage 2.0 (TID 26, localhost, partition 23,NODE_LOCAL, 1918 bytes)
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Finished task 20.0 in stage 2.0 (TID 23) in 65 ms on localhost (22/200)
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Getting 1 non-empty blocks out of 1 blocks
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Started 0 remote fetches in 1 ms
2017-11-05 15:23:36 INFO  Executor:58 - Running task 23.0 in stage 2.0 (TID 26)
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Getting 1 non-empty blocks out of 1 blocks
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Started 0 remote fetches in 0 ms
2017-11-05 15:23:36 INFO  FileOutputCommitter:439 - Saved output of task 'attempt_201711051523_0002_m_000022_25' to file:/var/folders/5b/l5cqfnmx16x0z42tz0z0dt5hnfcnkx/T/junit6147406587438984887/output/erroneous/_temporary/0/task_201711051523_0002_m_000022
2017-11-05 15:23:36 INFO  SparkHadoopMapRedUtil:58 - attempt_201711051523_0002_m_000022_25: Committed
2017-11-05 15:23:36 INFO  Executor:58 - Finished task 22.0 in stage 2.0 (TID 25). 2628 bytes result sent to driver
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Starting task 24.0 in stage 2.0 (TID 27, localhost, partition 24,NODE_LOCAL, 1918 bytes)
2017-11-05 15:23:36 INFO  Executor:58 - Running task 24.0 in stage 2.0 (TID 27)
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Finished task 22.0 in stage 2.0 (TID 25) in 50 ms on localhost (23/200)
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Getting 1 non-empty blocks out of 1 blocks
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Started 0 remote fetches in 0 ms
2017-11-05 15:23:36 INFO  FileOutputCommitter:439 - Saved output of task 'attempt_201711051523_0002_m_000024_27' to file:/var/folders/5b/l5cqfnmx16x0z42tz0z0dt5hnfcnkx/T/junit6147406587438984887/output/erroneous/_temporary/0/task_201711051523_0002_m_000024
2017-11-05 15:23:36 INFO  SparkHadoopMapRedUtil:58 - attempt_201711051523_0002_m_000024_27: Committed
2017-11-05 15:23:36 INFO  Executor:58 - Finished task 24.0 in stage 2.0 (TID 27). 2628 bytes result sent to driver
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Starting task 25.0 in stage 2.0 (TID 28, localhost, partition 25,NODE_LOCAL, 1918 bytes)
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Finished task 24.0 in stage 2.0 (TID 27) in 38 ms on localhost (24/200)
2017-11-05 15:23:36 INFO  Executor:58 - Running task 25.0 in stage 2.0 (TID 28)
2017-11-05 15:23:36 INFO  FileOutputCommitter:439 - Saved output of task 'attempt_201711051523_0002_m_000023_26' to file:/var/folders/5b/l5cqfnmx16x0z42tz0z0dt5hnfcnkx/T/junit6147406587438984887/output/erroneous/_temporary/0/task_201711051523_0002_m_000023
2017-11-05 15:23:36 INFO  SparkHadoopMapRedUtil:58 - attempt_201711051523_0002_m_000023_26: Committed
2017-11-05 15:23:36 INFO  Executor:58 - Finished task 23.0 in stage 2.0 (TID 26). 2628 bytes result sent to driver
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Starting task 26.0 in stage 2.0 (TID 29, localhost, partition 26,NODE_LOCAL, 1918 bytes)
2017-11-05 15:23:36 INFO  Executor:58 - Running task 26.0 in stage 2.0 (TID 29)
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Finished task 23.0 in stage 2.0 (TID 26) in 84 ms on localhost (25/200)
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Getting 1 non-empty blocks out of 1 blocks
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Started 0 remote fetches in 1 ms
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Getting 1 non-empty blocks out of 1 blocks
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Started 0 remote fetches in 0 ms
2017-11-05 15:23:36 INFO  FileOutputCommitter:439 - Saved output of task 'attempt_201711051523_0002_m_000025_28' to file:/var/folders/5b/l5cqfnmx16x0z42tz0z0dt5hnfcnkx/T/junit6147406587438984887/output/erroneous/_temporary/0/task_201711051523_0002_m_000025
2017-11-05 15:23:36 INFO  SparkHadoopMapRedUtil:58 - attempt_201711051523_0002_m_000025_28: Committed
2017-11-05 15:23:36 INFO  Executor:58 - Finished task 25.0 in stage 2.0 (TID 28). 2628 bytes result sent to driver
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Starting task 27.0 in stage 2.0 (TID 30, localhost, partition 27,NODE_LOCAL, 1918 bytes)
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Finished task 25.0 in stage 2.0 (TID 28) in 37 ms on localhost (26/200)
2017-11-05 15:23:36 INFO  FileOutputCommitter:439 - Saved output of task 'attempt_201711051523_0002_m_000026_29' to file:/var/folders/5b/l5cqfnmx16x0z42tz0z0dt5hnfcnkx/T/junit6147406587438984887/output/erroneous/_temporary/0/task_201711051523_0002_m_000026
2017-11-05 15:23:36 INFO  SparkHadoopMapRedUtil:58 - attempt_201711051523_0002_m_000026_29: Committed
2017-11-05 15:23:36 INFO  Executor:58 - Running task 27.0 in stage 2.0 (TID 30)
2017-11-05 15:23:36 INFO  Executor:58 - Finished task 26.0 in stage 2.0 (TID 29). 2628 bytes result sent to driver
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Starting task 28.0 in stage 2.0 (TID 31, localhost, partition 28,NODE_LOCAL, 1918 bytes)
2017-11-05 15:23:36 INFO  Executor:58 - Running task 28.0 in stage 2.0 (TID 31)
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Finished task 26.0 in stage 2.0 (TID 29) in 30 ms on localhost (27/200)
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Getting 1 non-empty blocks out of 1 blocks
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Started 0 remote fetches in 0 ms
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Getting 1 non-empty blocks out of 1 blocks
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Started 0 remote fetches in 0 ms
2017-11-05 15:23:36 INFO  FileOutputCommitter:439 - Saved output of task 'attempt_201711051523_0002_m_000027_30' to file:/var/folders/5b/l5cqfnmx16x0z42tz0z0dt5hnfcnkx/T/junit6147406587438984887/output/erroneous/_temporary/0/task_201711051523_0002_m_000027
2017-11-05 15:23:36 INFO  SparkHadoopMapRedUtil:58 - attempt_201711051523_0002_m_000027_30: Committed
2017-11-05 15:23:36 INFO  FileOutputCommitter:439 - Saved output of task 'attempt_201711051523_0002_m_000028_31' to file:/var/folders/5b/l5cqfnmx16x0z42tz0z0dt5hnfcnkx/T/junit6147406587438984887/output/erroneous/_temporary/0/task_201711051523_0002_m_000028
2017-11-05 15:23:36 INFO  SparkHadoopMapRedUtil:58 - attempt_201711051523_0002_m_000028_31: Committed
2017-11-05 15:23:36 INFO  Executor:58 - Finished task 27.0 in stage 2.0 (TID 30). 2628 bytes result sent to driver
2017-11-05 15:23:36 INFO  Executor:58 - Finished task 28.0 in stage 2.0 (TID 31). 2628 bytes result sent to driver
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Starting task 29.0 in stage 2.0 (TID 32, localhost, partition 29,NODE_LOCAL, 1918 bytes)
2017-11-05 15:23:36 INFO  Executor:58 - Running task 29.0 in stage 2.0 (TID 32)
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Finished task 27.0 in stage 2.0 (TID 30) in 37 ms on localhost (28/200)
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Starting task 30.0 in stage 2.0 (TID 33, localhost, partition 30,NODE_LOCAL, 1918 bytes)
2017-11-05 15:23:36 INFO  Executor:58 - Running task 30.0 in stage 2.0 (TID 33)
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Finished task 28.0 in stage 2.0 (TID 31) in 36 ms on localhost (29/200)
